ticker,status,row_count,anomaly_count,error,output_file
P05PFL050929,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL050929_2021-04-24_to_2026-04-24.csv
P05PFL060428,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL060428_2021-04-24_to_2026-04-24.csv
P05PFL060526,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL060526_2021-04-24_to_2026-04-24.csv
P05PFL070229,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL070229_2021-04-24_to_2026-04-24.csv
P05PFL090130,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL090130_2021-04-24_to_2026-04-24.csv
P05PFL100828,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL100828_2021-04-24_to_2026-04-24.csv
P05PFL121229,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL121229_2021-04-24_to_2026-04-24.csv
P05PFL141129,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL141129_2021-04-24_to_2026-04-24.csv
P05PFL141228,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL141228_2021-04-24_to_2026-04-24.csv
P05PFL161127,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL161127_2021-04-24_to_2026-04-24.csv
P05PFL170430,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL170430_2021-04-24_to_2026-04-24.csv
P05PFL171127,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL171127_2021-04-24_to_2026-04-24.csv
P05PFL180429,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL180429_2021-04-24_to_2026-04-24.csv
P05PFL191028,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL191028_2021-04-24_to_2026-04-24.csv
P05PFL210928,saved,19,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL210928_2021-04-24_to_2026-04-24.csv
